value_set_oid,value_set_name,code,description,code_system,code_system_version,code_system_oid,tty
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,199227004,Diabetes mellitus during pregnancy - baby not yet delivered (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,199228009,Diabetes mellitus in the puerperium - baby delivered during previous episode of care (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,199229001,Pre-existing type 1 diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,199230006,Pre-existing type 2 diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,199231005,Pre-existing malnutrition-related diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,23045005,Insulin dependent diabetes mellitus type IA (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237599002,Insulin treated type 2 diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237600004,Malnutrition-related diabetes mellitus - fibrocalculous (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237601000,Secondary endocrine diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237604008,"Maturity onset diabetes of the young, type 2 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237613005,Hyperproinsulinemia (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237618001,Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237619009,Diabetes-deafness syndrome maternally transmitted (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237627000,Pregnancy and type 2 diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,237651005,Insulin resistance - type A (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,24203005,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND abnormal insulin receptors (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.01,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.02,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.03,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.1,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.11,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.12,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.13,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.2,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.21,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.22,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.23,"Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.3,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.31,"Diabetes with other coma, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.32,"Diabetes with other coma, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.33,"Diabetes with other coma, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.4,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.41,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.42,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.43,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.5,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.51,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.52,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.53,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.6,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.61,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.62,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.63,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.7,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.71,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.72,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.73,"Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.8,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.81,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.82,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.83,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.9,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.91,"Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.92,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,250.93,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,2751001,Fibrocalculous pancreatic diabetes (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,28032008,Insulin dependent diabetes mellitus type IB (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,3.1321E+13,Diabetes mellitus type 1 without retinopathy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,313435000,Type I diabetes mellitus without complication (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,313436004,Type II diabetes mellitus without complication (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,314771006,Type I diabetes mellitus with hypoglycemic coma (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,314893005,Type I diabetes mellitus with arthropathy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,314902007,Type 2 diabetes mellitus with peripheral angiopathy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,314903002,Type II diabetes mellitus with arthropathy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,314904008,Type II diabetes mellitus with neuropathic arthropathy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,33559001,Pineal hyperplasia AND diabetes mellitus syndrome (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,357.2,Polyneuropathy in diabetes,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,359642000,Diabetes mellitus type 2 in nonobese (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,362.01,Background diabetic retinopathy,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,362.02,Proliferative diabetic retinopathy,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,362.03,Nonproliferative diabetic retinopathy NOS,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,362.04,Mild nonproliferative diabetic retinopathy,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,362.05,Moderate nonproliferative diabetic retinopathy,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,362.06,Severe nonproliferative diabetic retinopathy,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,362.07,Diabetic macular edema,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,366.41,Diabetic cataract,ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,3.68521E+14,Disorder of nerve co-occurrent and due to type 1 diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,408539000,Insulin autoimmune syndrome (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,426875007,Latent autoimmune diabetes mellitus in adult (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,427089005,Diabetes mellitus due to cystic fibrosis (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,42954008,Diabetes mellitus associated with receptor abnormality (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,44054006,Diabetes mellitus type 2 (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,445260006,Posttransplant diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,46635009,Diabetes mellitus type 1 (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,4783006,Maternal diabetes mellitus with hypoglycemia affecting fetus OR newborn (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,51002006,Diabetes mellitus associated with pancreatic disease (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,5.30559E+17,Atypical diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,57886004,Protein-deficient diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,59079001,Diabetes mellitus associated with hormonal etiology (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,5969009,Diabetes mellitus associated with genetic syndrome (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609561005,Maturity-onset diabetes of the young (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609562003,"Maturity onset diabetes of the young, type 1 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609563008,Pre-existing diabetes mellitus in pregnancy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609564002,Pre-existing type 1 diabetes mellitus in pregnancy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609566000,Pregnancy and type 1 diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609567009,Pre-existing type 2 diabetes mellitus in pregnancy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609568004,Diabetes mellitus due to genetic defect in beta cell function (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609569007,Diabetes mellitus due to genetic defect in insulin action (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609570008,"Maturity-onset diabetes of the young, type 3 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609571007,"Maturity-onset diabetes of the young, type 4 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609572000,"Maturity-onset diabetes of the young, type 5 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609573005,"Maturity-onset diabetes of the young, type 6 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609574004,"Maturity-onset diabetes of the young, type 7 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609575003,"Maturity-onset diabetes of the young, type 8 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609576002,"Maturity-onset diabetes of the young, type 9 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609577006,"Maturity-onset diabetes of the young, type 10 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,609578001,"Maturity-onset diabetes of the young, type 11 (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,648,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,648.01,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,648.02,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,648.03,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,648.04,"Diabetes mellitus of mother, complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",ICD9CM,2013,2.16.840.1.113883.6.103,PT
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,70694009,Diabetes mellitus AND insipidus with optic atrophy AND deafness (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,709147009,Gingivitis co-occurrent with diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,710815001,Long-term current use of insulin (situation),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,716362006,Gingival disease co-occurrent with diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,7.1791E+13,Peripheral neuropathy co-occurrent and due to type 1 diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,719216001,Hypoglycemic coma co-occurrent and due to diabetes mellitus type II (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,720519003,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,722454003,"Intellectual disability, craniofacial dysmorphism, hypogonadism, diabetes mellitus syndrome (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,724136006,Diabetic mastopathy (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,724205009,Laminopathy type Decaudain Vigouroux (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,73211009,Diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,733072002,"Alaninuria, microcephaly, dwarfism, enamel hypoplasia, diabetes mellitus syndrome (disorder)",SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,734022008,Wolfram-like syndrome (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
2.16.840.1.113883.3.464.1003.103.12.1001,Diabetes,75524006,Malnutrition related diabetes mellitus (disorder),SNOMEDCT,2018-09,2.16.840.1.113883.6.96,FN
